"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
SES-2,USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-87,35778,35798,2.37E-04,0.01,1436.19,"3,200",,"5,000",2011-09-21T00:00,15-18 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2011-049A,37809,24 active C-band and 24 Ku-band transponders;  provides comprehensive coverage of North America and the Caribbean. Also features the Commercially Hosted InfraRed Payload (CHIRP) for U.S. Air Force--wide-field of view sensor to validate space-based infrared technologies from geosynchronous orbit.,264
SES-3,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-103,35850,35852,2.37E-05,0.05,1439.41,"3,112",,,2011-07-15T00:00,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2011-035A,37748,"24 C-band; 24 Ku-band, CONUS.",196
SES-4,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-22,35781,35792,1.30E-04,0.05,1436.1,,,"20,000",2012-02-14T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-007A,38087,"52 C-band; 72 Ku-band, Americas, Europe, Africa and the Middle East. ",45
"SES-5 (Sirius 5, Astra 4B)",United Kingdom,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,5,35783,35791,9.49E-05,0.13,1436.12,"6,007",,,2012-07-09T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-036A,38652,24 C-band transponders and 36 Ku-band transponders. Also carries hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).,191
SES-6,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-40.5,35757,35816,7.00E-04,0.13,1436.09,"6,140",,,2013-06-03T00:00,15 yrs.,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2013-026A,39172,Direct-to home broadcasts and VSat terminal services - Atlantic Ocean region.,154
"SES-7 (Protostar 2, Indostar 2)",NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,108.02,35783,35790,8.30E-05,0.03,1436.1,"4,007",,,2009-05-16T00:00,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million.",136
SES-8,NR,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,95,35777,35795,2.13E-04,0.02,1436.07,"3,138",,,2013-12-03T00:00,15 yrs.,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2013-071A,39460,Direct broadcast TV and communications network services to India and south-east Asia.,337
SES-9,NR (12/16),USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,108.02,35787,35791,4.74E-05,0.05,1436.2,"5,271","2,835","12,700",2016-03-04T00:00,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-013A,41380,"All Ku-band, 57 transponders.  Asia-Pacific region",64
SGDC (Geostationary Satellite for Communications and Defense),NR (9/17),Brazil,Telebras/Brazilian Air Force,Commercial/Military,Communications,,GEO,,-74.85,35775,35798,2.73E-04,0,1436.11,"5,735",,,2017-05-04T00:00,18 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2017-023B,42692,"Joint venture, commercial and Brazilian Air Force. 57 Ka-band and X-band transponders.",124
SGSat (KySat-3),NR (10/17),USA,University of Kentucky,Civil,Technology Development,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.6,2,,,2017-04-18T00:00,.25 yrs.,University of Kentucky,USA,International Space Station,Nanorack Deployer,1998-067LL,42703,Will evaluate a new Stellar Gyroscope attitude determination system.,108
SHARC (Spacecraft for High Accuracy Radar Calibration),NR (10/17),USA,Air Force Research Laboratory,Military,Technology Demonstration,,LEO,Non-Polar Inclined,0,400,406,4.43E-04,51.6,92.6,10,,,2017-05-18T00:00,.5 yrs.,Air Force Research Laboratory (AFRL),USA,International Space Station,Nanorack Deployer,1998-067LT,42712,Collect detailed positional measurements from space and help ground based radar networks improve tracking by conducting a series of coordinated fly-bys of military radar stations.,138
Shijian 11-01 (SJ-11-01),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,686,703,0.001203199,98.1,98.7,,,,2009-11-12T00:00,3 yrs.,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088,Monitor space environment; conduct several experiments.,316
Shijian 11-02 (SJ-11-02),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,686,704,0.001273885,98.2,98.7,,,,2011-07-29T00:00,,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765,Conduct various technology and environmental experiments.,210
Shijian 11-03 (SJ-11-03),NR,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,688,703,0.001061496,98.2,98.7,,,,2011-07-06T00:00,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730,Conduct various technology and environmental experiments.,187
Shijian 11-05 (SJ-11-05),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,689,704,0.001061346,98.1,98.7,,,,2013-07-15T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202,Replacement for 11-04.,196
Shijian 11-06 (SJ-11-06),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,688,704,0.001132182,98.26,98.69,,,,2014-03-31T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624,,90
Shijian 11-07 (SJ-11-07),NR,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,687,705,0.001273705,98.12,98.69,,,,2014-09-28T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261,Orbit suggests an earth observation role.,271
Shijian 11-08 (SJ-11-08),NR,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,690,705,0.001061196,98.2,98.6,,,,2014-10-27T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286,Orbit suggests an earth observation role.,300
Shijian 12 (SJ-12),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,583,601,0.001292732,97.7,96.5,,,,2010-06-15T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596,Conduct various technology and environmental experiments.,166
Shijian 15 (SJ-15),NR,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,8.53E-04,98.06,98.08,,,,2013-07-19T00:00,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210,,200
Shijian 16-01 (SJ-16),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Polar,0,599,616,0.001218201,74.98,96.85,,,,2013-10-25T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358,Conducting space environment exploration and technological experiments.,298
Shijian 16-02,NR (12/16),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,,LEO,Polar,0,338,594,0.0187244,75,96.81,,,,2016-06-29T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634,Conducting space environment exploration and technological experiments.,181
Shijian 17,NR (12/16),China,China Satellite Communication Corp. (China Satcom),Government,Technology Development,,GEO,,162.9,35777,35796,2.25E-04,0.8,1435.8,"3,800",,,2016-11-03T00:00,,Chinese Academy of Space Technology (CAST),China,Wenchang Satellite Launch Center,Long March 5,2016-065A,41838,"Communications, demonstration of navigation, a demonstration of an optical-sensing payload to observe space debris at high altitude. The optical sensor can also be used for Space Situational Awareness.",308
"Shijian 6A (SJ-6A, Dong Fang Hong 60)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,579,606,0.001938959,97.8,96.5,,,,2004-09-08T00:00,2 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413,Monitor space radiation.,252
Shijian 6B (SJ-6B),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,587,598,7.90E-04,97.8,96.5,,,,2004-09-08T00:00,2 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414,Monitor space radiation.,252
Shijian 6C (SJ-6-02A),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,591,594,2.15E-04,97.7,96.5,,,,2006-10-23T00:00,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505,Radiation detectors and other space environment-related instruments.,296
Shijian 6D (SJ-6-02B),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,594,595,7.18E-05,97.7,96.6,,,,2006-10-23T00:00,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506,Radiation detectors and other space environment-related instruments.,296
"Shijian 6E (SJ6-03A, SJ-6E)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,581,607,0.001866743,97.6,96.6,,,,2008-10-25T00:00,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408,Monitor space environment; conduct several experiments.,299
"Shijian 6F (SJ6-03B, SJ-6F)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,578,603,0.001795848,97.6,96.5,,,,2008-10-25T00:00,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409,Monitor space environment; conduct several experiments.,299
Shijian 6G (SJ6-04A),China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,584,603,0.001364256,97.7,96.6,,,,2010-10-06T00:00,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179,Possible reconnaissance function.,279
Shijian 6H (SJ6_04B),China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,586,602,0.001148765,97.7,96.6,,,,2010-10-06T00:00,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180,Possible reconnaissance function.,279
"Shijian 7 (SJ7, Dong Fang Hong 65)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,534,591,0.004111071,97.7,95.9,,,,2005-07-05T00:00,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737,Monitor space environment; conduct several experiments.,186
Shijian 9A (SJ 9A),China,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Technology Development,,LEO,Sun-Synchronous,0,623,650,0.001926782,97.99,97.44,,,,2012-10-14T00:00,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,288
Shijian 9B (SJ 9B),China,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Technology Development,,LEO,Sun-Synchronous,0,624,651,0.001926507,97.99,97.46,,,,2012-10-14T00:00,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,288
"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,586,601,0.001077045,97.5,96.6,204,,,2004-04-18T00:00,,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220,"Stereo mapping; photographic surveys of China's land resources, monitor environment, mapping.",109
"Shiyan 3 (SY3, Experimental Satellite 3)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,785,803,0.001256281,98.5,100.8,300,,,2008-11-05T00:00,,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433,Experiments on new technologies in atmospheric exploration.,310
"Shiyan 4 (SY4, Experimental Satellite 4)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,784,802,0.001256457,98.4,100.7,300,,,2011-11-20T00:00,,CAST/DFH Satellite/HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931,Study the environment and test new space technologies.,324
"Shiyan 5 (SY5, Experimental Satellite 5)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,,LEO,Sun-Synchronous,0,739,755,0.001124069,97.9,99.7,204,,,2013-11-25T00:00,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455,Remote sensing and research.,329
"Shiyan 7 (SY7, Experimental Satellite 7)",NR,China,Chinese Academy of Space Technology (CAST),Military,Technology Development,,LEO,Sun-Synchronous,0,668,672,2.84E-04,98.06,98.15,,,,2013-07-19T00:00,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2013-037A,39208,Possibly testing systems for detection of orbiting space debris or tracking missile launches.,200
Sicral 1A ,Italy,Italy,Italian Defense Ministry,Military,Communications,,GEO,,16.25,35769,35802,3.91E-04,1.01,1436.06,"2,596","1,263","3,300",2001-02-07T00:00,10-12 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694,"Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered.",38
Sicral 1B,Italy,Italy,Italian Defense Ministry/Telespazio,Military/Commercial,Communications,,GEO,,11.8,35788,35802,1.66E-04,0.04,1436.52,"3,038",,,2009-04-20T00:00,10-12 yrs.,Thales Alenia Space Italia,Italy,Sea Launch Odyssey,Zenit 3SL,2009-020A,34810,One third paid for by Telespazio; will use some transponders for approved government customers.,110
Sicral 2/Syracuse 3C,NR,France/Italy,Italian Defense Ministry/French Defense Ministry,Military,Communications,,GEO,,37,35770,35800,3.56E-04,0,1436,"4,400",,"7,700",2015-04-26T00:00,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2015-022B,40614,"Military communications payloads from both Italy and France, shared satellite bus.",116
"Sinah-1 (Sina 1, ZS1)",NR,Iran,Iranian Research Organization for Science and Technology (IROST),Government,Communications,,LEO,Sun-Synchronous,0,681,703,0.001557632,97.9,98.6,170,,,2005-10-27T00:00,3 yrs.,Polyot,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893,Telecommunications and research. Take pictures of Iran and to monitor natural disasters in the earthquake-prone nation.,300
SINOD D-1,NR,USA,SRI International,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,494,800,0.02180419,64.78,97.67,2,,,2015-10-08T00:00,,SRI International,USA,Cape Canaveral,Atlas 5,2015-058L,40974,Demonstration of software defined radio communications.,281
SINOD D-3,NR,USA,SRI International,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,494,800,0.02180419,64.78,97.66,2,,,2015-10-08T00:00,,SRI International,USA,Cape Canaveral,Atlas 5,2015-058P,40977,Demonstration of software defined radio communications.,281
"Sinosat-6 (Chinasat-6A, XN-6)",China,China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,,GEO,,0,35794,35796,2.37E-05,0.3,1436.1,"5,000",,,2010-09-04T00:00,15 yrs.,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2010-042A,37150,"Television and radio across China. 1 S-band, 24 C-band, and 8 Ku-band transponders. Backup for Sinosat 3.",247
Sirius 1 (SD Radio 1),USA,USA,Sirius XM Holdings,Commercial,Communications,,Elliptical,Molniya,0,23783,47100,0.27883477,63.3,1418.5,"3,727","1,570",,2000-06-30T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-035A,26390,"Relay music, news, entertainment directly to motorists in the USA; a fourth satellite is stored on the ground for rapid replacement, if necessary.",182
Sirius 2 (SD Radio 2),USA,USA,Sirius XM Holdings,Commercial,Communications,,Elliptical,Molniya,0,12849,47048,0.470820656,63.3,1148.43,"3,792","1,570",,2000-09-05T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-051A,26483,"Relay music, news, entertainment directly to motorists in the USA.",249
Sirius 3 (SD Radio 3),USA,USA,Sirius XM Holdings,Commercial,Communications,,Elliptical,Molniya,0,6179,47086,0.619756079,63.4,994.83,"3,727","1,570",,2000-11-30T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-077A,26626,"Relay music, news, entertainment directly to motorists in the USA.",335
Sirius 4 (Astra 4A),Sweden,Sweden,SES Sirius AB,Commercial,Communications,,GEO,,4.85,35776,35795,2.25E-04,0.04,1436.1,"4,400",,,2007-11-17T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton M,2007-057A,32299,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.,321
Sirius FM-5,USA,USA,Sirius XM Holdings,Commercial,Communications,,GEO,,-96,35774,35798,2.85E-04,0,1436,"5,800",,"20,000",2009-06-30T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2009-034A,35493,First in geostationary orbit.,181
Sirius FM-6,USA,USA,Sirius XM Holdings,Commercial,Communications,,GEO,,-115.2,35785,35791,7.12E-05,0.08,1436.16,"6,020","2,975","20,000",2013-10-25T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-058A,39360,"Provide service the continental USA including digital audio radio broadcast directly to cars, homes and portable radios.",298
