"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Women";"40 to 49 years";"2008";"      96";"      30";"      38";"       2";"      26";"      29";"      33";"      13";"       3";"       8";"       8";"       2";"      57";"       8";"      10";"       5";"      16";"     7.6";"    13.1";"     4.5";"    13.6";"    15.2"
"Women";"40 to 49 years";"2009";"     106";"      38";"      39";"       2";"      27";"      36";"      37";"      11";"       7";"      11";"       4";"       0";"      73";"       2";"       8";"       6";"      17";"     8.3";"    16.1";"     4.6";"    14.2";"    15.1"
"Women";"40 to 49 years";"2010";"     112";"      38";"      42";"       4";"      28";"      43";"      24";"      11";"       6";"      21";"       7";"       0";"      78";"       4";"       4";"       5";"      21";"     8.7";"    15.5";"     5.0";"    29.4";"    15.1"
"Women";"40 to 49 years";"2011";"     124";"      47";"      35";"       6";"      36";"      53";"      37";"      13";"       7";"       6";"       8";"       0";"      74";"       4";"      13";"       6";"      27";"     9.7";"    18.3";"     4.2";"    46.2";"    19.2"
"Women";"40 to 49 years";"2012";"     134";"      51";"      42";"       1";"      40";"      55";"      44";"      13";"       3";"       9";"       9";"       1";"      81";"       6";"       6";"      11";"      30";"    10.5";"    19.0";"     5.2";"     8.1";"    21.4"
"Women";"40 to 49 years";"2013";"     108";"      29";"      44";"       2";"      33";"      43";"      32";"      12";"       5";"       8";"       8";"       0";"      58";"       4";"       8";"       5";"      33";"     8.5";"    10.4";"     5.6";"    16.9";"    17.8"
"Women";"40 to 49 years";"2014";"     114";"      33";"      44";"       3";"      34";"      43";"      40";"      10";"       6";"       8";"       7";"       0";"      72";"       7";"       9";"       4";"      22";"     9.2";"    11.5";"     5.8";"    26.8";"    18.6"
"Women";"40 to 49 years";"2015";"     108";"      40";"      32";"       4";"      32";"      37";"      34";"      14";"       5";"      10";"       7";"       1";"      63";"       8";"       1";"       3";"      33";"     8.9";"    13.6";"     4.4";"    37.9";"    17.8"
"Women";"40 to 49 years";"2016";"     103";"      34";"      33";"       1";"      35";"      36";"      35";"      17";"       3";"       4";"       7";"       1";"      75";"       4";"       5";"       2";"      17";"     8.6";"    11.3";"     4.7";"    10.0";"    19.9"
"Women";"40 to 49 years";"2017";"     104";"      46";"      30";"       2";"      26";"      47";"      32";"       5";"       6";"      12";"       2";"       0";"      81";"       2";"      10";"       5";"       6";"     8.9";"    15.1";"     4.4";"    20.8";"    15.2"
"Women";"40 to 49 years";"2018";"     100";"      38";"      36";"       0";"      26";"      36";"      27";"      13";"       3";"      12";"       9";"       0";"      75";"       2";"       4";"       4";"      15";"     8.7";"    12.2";"     5.5";"     0.0";"    15.7"
"Women";"40 to 49 years";"2019*";"      80";"      40";"      16";"       0";"      24";"      33";"      23";"      12";"       3";"       4";"       5";"       0";"      54";"       4";"       1";"       7";"      14";"     7.1";"    12.6";"     2.5";"     0.0";"    15.1"
"Women";"50 to 59 years";"1950";"      45";"       7";"      29";"       8";"       1";"      12";"       4";"";"       9";"       2";"      18";"       0";"      19";"       5";"       0";"       8";"      13";"     9.0";"    10.9";"     7.7";"    15.8";"    11.3"
"Women";"50 to 59 years";"1951";"      45";"       7";"      33";"       3";"       2";"      11";"       4";"";"       9";"       2";"      15";"       4";"       0";"       0";"       0";"       0";"      45";"     8.8";"    10.8";"     8.6";"     5.8";"    21.5"
"Women";"50 to 59 years";"1952";"      62";"      14";"      33";"      14";"       1";"      17";"       6";"";"      15";"       1";"      21";"       2";"       0";"       0";"       0";"       0";"      62";"    11.8";"    21.1";"     8.3";"    26.8";"    10.2"
"Women";"50 to 59 years";"1953";"      60";"       7";"      42";"       9";"       2";"      12";"       5";"";"      17";"       4";"      20";"       2";"       0";"       0";"       0";"       0";"      60";"    11.2";"    10.4";"    10.3";"    17.1";"    19.6"
"Women";"50 to 59 years";"1954";"      58";"       7";"      41";"      10";"       0";"      15";"       3";"";"      12";"       1";"      25";"       2";"       0";"       0";"       0";"       0";"      58";"    10.6";"    10.2";"     9.9";"    18.8";"     0.0"
"Women";"50 to 59 years";"1955";"      60";"       9";"      35";"      15";"       1";"      16";"       4";"";"      15";"       3";"      22";"       0";"      22";"       4";"       0";"      14";"      20";"    10.7";"    12.9";"     8.2";"    27.8";"     9.0"
"Women";"50 to 59 years";"1956";"      62";"       9";"      35";"      13";"       5";"      13";"       3";"";"      14";"       1";"      31";"       0";"       0";"       0";"       0";"       0";"      62";"    10.9";"    12.8";"     8.1";"    23.8";"    43.1"
"Women";"50 to 59 years";"1957";"      70";"       8";"      44";"      15";"       3";"      20";"       3";"";"      22";"       2";"      21";"       2";"      43";"       6";"       0";"       8";"      13";"    12.1";"    11.2";"    10.0";"    27.3";"    24.8"
"Women";"50 to 59 years";"1958";"      64";"       8";"      45";"       9";"       2";"      17";"       6";"";"      14";"       4";"      22";"       1";"       0";"       0";"       0";"       0";"      64";"    10.8";"    11.0";"    10.0";"    16.2";"    15.8"
"Women";"50 to 59 years";"1959";"      77";"      14";"      47";"      15";"       1";"      17";"       3";"";"      21";"       3";"      33";"       0";"       0";"       0";"       0";"       0";"      77";"    12.7";"    19.1";"    10.2";"    26.7";"     7.6"
"Women";"50 to 59 years";"1960";"      81";"      14";"      49";"      13";"       5";"      16";"       3";"";"      21";"       4";"      34";"       3";"       0";"       0";"       0";"       0";"      81";"    13.2";"    19.1";"    10.4";"    22.7";"    38.5"
"Women";"50 to 59 years";"1961";"      74";"      10";"      40";"      18";"       6";"      14";"       7";"";"      22";"       4";"      25";"       2";"       0";"       0";"       0";"       0";"      74";"    11.9";"    13.7";"     8.4";"    31.0";"    47.2"
"Women";"50 to 59 years";"1962";"      82";"      10";"      56";"      13";"       3";"      16";"       6";"";"      26";"       1";"      31";"       2";"      37";"      11";"       6";"       5";"      23";"    13.0";"    13.8";"    11.6";"    22.1";"    23.1"
"Women";"50 to 59 years";"1963";"      57";"       9";"      39";"       7";"       2";"       9";"      10";"";"      18";"       5";"      11";"       4";"       0";"       0";"       0";"       0";"      57";"     9.0";"    12.5";"     7.9";"    11.7";"    15.0"
"Women";"50 to 59 years";"1964";"      85";"      12";"      53";"      17";"       3";"      18";"      12";"";"      28";"       5";"      19";"       3";"       0";"       0";"       0";"       0";"      85";"    13.2";"    16.8";"    10.6";"    27.9";"    21.8"
"Women";"50 to 59 years";"1965";"      72";"      12";"      41";"      17";"       2";"      14";"      14";"";"      20";"       2";"      19";"       3";"      39";"       9";"       2";"       4";"      18";"    11.1";"    17.1";"     8.2";"    27.5";"    14.2"
"Women";"50 to 59 years";"1966";"      88";"      19";"      57";"      11";"       1";"      21";"      13";"";"      24";"       2";"      23";"       5";"       0";"       0";"       0";"       0";"      88";"    13.5";"    27.7";"    11.3";"    17.6";"     6.9"
"Women";"50 to 59 years";"1967";"      66";"      12";"      36";"      16";"       2";"      19";"      18";"";"      15";"       3";"       8";"       3";"      33";"       7";"       1";"       6";"      19";"    10.1";"    17.9";"     7.1";"    25.4";"    13.6"
"Women";"50 to 59 years";"1968";"      48";"       8";"      30";"       9";"       1";"      10";"      11";"";"      14";"       4";"       9";"       0";"       0";"       0";"       0";"       0";"      48";"     7.3";"    12.3";"     5.9";"    14.2";"     6.7"
"Women";"50 to 59 years";"1969";"      80";"       9";"      52";"      12";"       7";"      23";"      25";"";"      21";"       4";"       7";"       0";"      42";"      10";"       1";"       6";"      21";"    12.2";"    14.3";"    10.2";"    18.9";"    45.8"
"Women";"50 to 59 years";"1970";"      88";"      12";"      54";"      19";"       3";"      20";"      35";"";"      24";"       3";"       6";"       0";"      38";"      13";"       1";"       6";"      30";"    13.3";"    19.5";"    10.4";"    29.5";"    19.0"
"Women";"50 to 59 years";"1971";"      93";"      11";"      61";"      16";"       5";"      17";"      40";"";"      24";"       2";"      10";"       0";"      56";"       9";"       0";"       9";"      19";"    13.8";"    18.1";"    11.5";"    24.3";"    30.2"
"Women";"50 to 59 years";"1972";"      89";"      12";"      49";"      18";"      10";"      14";"      38";"";"      25";"       2";"      10";"       0";"      54";"       6";"       1";"       7";"      21";"    13.1";"    20.1";"     9.1";"    26.9";"    56.7"
"Women";"50 to 59 years";"1973";"     117";"      11";"      73";"      19";"      14";"      28";"      50";"";"      26";"       8";"       5";"       0";"      69";"       5";"       0";"       5";"      38";"    17.0";"    18.7";"    13.4";"    28.0";"    73.4"
"Women";"50 to 59 years";"1974";"      96";"       9";"      59";"      20";"       8";"      21";"      39";"";"      25";"       3";"       8";"       0";"      60";"       7";"       2";"       4";"      23";"    13.8";"    15.5";"    10.7";"    29.3";"    38.8"
"Women";"50 to 59 years";"1975";"      94";"      14";"      58";"      15";"       7";"      25";"      31";"";"      27";"       3";"       8";"       0";"      56";"       5";"       3";"      12";"      18";"    13.3";"    24.2";"    10.4";"    21.8";"    31.2"
"Women";"50 to 59 years";"1976";"      97";"      13";"      59";"      16";"       9";"      25";"      31";"";"      24";"       4";"      13";"       0";"      53";"       3";"       5";"       7";"      29";"    13.6";"    22.4";"    10.5";"    23.0";"    37.0"
"Women";"50 to 59 years";"1977";"      95";"      10";"      55";"      17";"      13";"      29";"      25";"";"      22";"       9";"      10";"       0";"      49";"       2";"       1";"       8";"      35";"    13.2";"    17.5";"     9.7";"    24.2";"    50.1"
"Women";"50 to 59 years";"1978";"     113";"      16";"      67";"      20";"      10";"      27";"      33";"";"      26";"      10";"      17";"       0";"      59";"       5";"       3";"       8";"      38";"    15.5";"    28.2";"    11.6";"    28.2";"    36.3"
"Women";"50 to 59 years";"1979";"     141";"      22";"      85";"      21";"      13";"      37";"      40";"      10";"      27";"       7";"      20";"       0";"      73";"      11";"       5";"       6";"      46";"    19.0";"    39.1";"    14.6";"    29.3";"    44.4"
"Women";"50 to 59 years";"1980";"     104";"      12";"      69";"      12";"      11";"      24";"      30";"       9";"      30";"       2";"       9";"       0";"      55";"       9";"       2";"       5";"      33";"    14.0";"    21.7";"    11.8";"    16.8";"    35.4"
"Women";"50 to 59 years";"1981";"     100";"      13";"      59";"      19";"       9";"      37";"      20";"       6";"      25";"       7";"       5";"       0";"      61";"       4";"       2";"       5";"      28";"    13.4";"    24.0";"    10.1";"    27.0";"    27.5"
"Women";"50 to 59 years";"1982";"     106";"      16";"      58";"      18";"      14";"      37";"      26";"       6";"      19";"      11";"       7";"       0";"      61";"       6";"       6";"       5";"      28";"    14.3";"    30.4";"     9.9";"    26.0";"    39.7"
"Women";"50 to 59 years";"1983";"     131";"      17";"      73";"      21";"      20";"      42";"      27";"      10";"      19";"      15";"      18";"       0";"      79";"       7";"      10";"       8";"      27";"    17.7";"    33.3";"    12.5";"    30.8";"    52.6"
"Women";"50 to 59 years";"1984";"     120";"      13";"      72";"      18";"      17";"      42";"      24";"      12";"      27";"       9";"       6";"       0";"      77";"       4";"       4";"       5";"      30";"    16.2";"    26.3";"    12.4";"    26.9";"    41.7"
"Women";"50 to 59 years";"1985";"     109";"      11";"      62";"      17";"      19";"      38";"      25";"       6";"      17";"      16";"       7";"       0";"      38";"       3";"      12";"       6";"      50";"    14.8";"    23.0";"    10.7";"    25.9";"    43.4"
"Women";"50 to 59 years";"1986";"      92";"       8";"      53";"      15";"      16";"      34";"      17";"       6";"      21";"       8";"       6";"       0";"      45";"       1";"       9";"       2";"      35";"    12.5";"    17.3";"     9.1";"    23.2";"    34.1"
"Women";"50 to 59 years";"1987";"     106";"      14";"      56";"      15";"      21";"      37";"      21";"      10";"      16";"       6";"      16";"       0";"      45";"       1";"       6";"       6";"      48";"    14.3";"    31.3";"     9.6";"    23.6";"    41.9"
